2025-02-27 18:52:54 | Service: ClientService | Port: 6004 | Status: DOWN
2025-02-27 18:53:38 | Service: ClientService | Port: 6004 | Status: DOWN
2025-02-27 18:56:43 | Service: ClientService | Port: 6004 | Status: DOWN
2025-02-27 18:57:32 | Service: ClientService | Port: 6004 | Status: DOWN
2025-02-27 19:01:04 | Service: ClientService | Port: 6004 | Status: DOWN
2025-02-27 19:01:11 | Service: ClientService | Port: 6004 | Status: DOWN
2025-02-27 19:01:37 | Service: ClientService | Port: 6004 | Status: DOWN
2025-02-27 19:01:51 | Service: ClientService | Port: 6004 | Status: DOWN
2025-02-27 19:02:30 | Service: ClientService | Port: 6004 | Status: DOWN
2025-02-27 19:04:17 | Service: ClientService | Port: 6004 | Status: DOWN
2025-02-27 19:06:08 | Service: ClientService | Port: 6004 | Status: DOWN
